sale_date,sale_time,file_number,case_number,firm_name,address,city,county,zip_code,opening_bid,required_down,sale_amount,continuance,sold_to,last_updated
2018-03-01 10:30:00,10:30 AM,38-421,16 CH 016673,"CODILIS & ASSOCIATES, P.C.",1430 S. KOLIN AVENUE,CHICAGO,Cook,60623,85509.25,25,85509.25,,Plaintiff,2018-05-30 20:26:28.192859
2018-03-01 10:30:00,10:30 AM,37-10638,2017 CH 9187,NOONAN & LIEBERMAN,206 NORTH KILBOURN AVE,CHICAGO,Cook,60624,78694.43,25,78694.43,,Plaintiff,2018-05-30 20:26:28.332859
2018-03-01 10:30:00,10:30 AM,38-876,16 CH 16724,"McCalla Raymer Leibert Pierce, LLC",4310 WEST 21ST STREET,CHICAGO,Cook,60623,23900.00,25,40000.00,,Third Party Bidder,2018-05-30 20:26:28.666860
2018-03-01 10:30:00,10:30 AM,37-9016,2017 CH 8168,"WELTMAN, WEINBERG & REIS CO., LPA",5307 SOUTH LOWE AVENUE,CHICAGO,Cook,60609,136149.12,25,136149.12,,Plaintiff,2018-05-30 20:26:28.762859
2018-03-01 10:30:00,10:30 AM,38-893,17 CH 04399,"McCalla Raymer Leibert Pierce, LLC",5334 SOUTH EMERALD,CHICAGO,Cook,60609,49000.00,25,49000.00,,Plaintiff,2018-05-30 20:26:28.865859
2018-03-01 10:30:00,10:30 AM,37-10896,16 CH 4867,"SHAPIRO KREISMAN & ASSOCIATES, LLC",5558 WEST CONGRESS PARKWAY,CHICAGO,Cook,60644,114608.20,25,114608.20,,Plaintiff,2018-05-30 20:26:28.972859
2018-03-01 10:30:00,10:30 AM,37-10756,2017 CH 11030,"CODILIS & ASSOCIATES, P.C.",5650 N. CALIFORNIA AVENUE,CHICAGO,Cook,60659,136700.00,25,136700.00,,Plaintiff,2018-05-30 20:26:29.081861
2018-03-01 10:30:00,10:30 AM,37-10604,16 CH 013479,"CODILIS & ASSOCIATES, P.C.",8004 S. TALMAN AVENUE,CHICAGO,Cook,60652,83950.00,25,92000.00,,Third Party Bidder,2018-05-30 20:26:29.189860
2018-03-01 10:30:00,10:30 AM,37-10724,17 CH 3759,"JOHNSON, BLUMBERG & ASSOCIATES, LLC",8454 W Catalpa Ave Unit 2,CHICAGO,Cook,60656,101003.08,25,101103.08,,Third Party Bidder,2018-05-30 20:26:29.301859
2018-03-01 10:30:00,10:30 AM,38-861,11 CH 39063,"McCalla Raymer Leibert Pierce, LLC",854 WEST VERMONT AVENUE,CHICAGO,Cook,60643,209316.95,25,209316.95,,Plaintiff,2018-05-30 20:26:29.510862
